################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.4356575278834929E-01 a       284     0    15     1     4
 -2.8906720750451892E-01 a       285     0    15     1     5
 -4.1979164155625048E-01 a       286     0    15     1     6
  2.0523495593535643E-01 a       287     0    15     1     7
  3.4240225212842107E-01 a       288     0    15     1     8
  1.4076361372206281E-01 a       289     0    15     1     9
  2.3123872889089503E-01 a       290     0    15     1    10
  1.5036422810980363E-01 a       291     0    15     1    11
 -1.4198619725027628E-01 a       292     0    15     1    12
 -3.6901252278257174E-01 a       293     0    15     1    13
 -1.9750598286945625E-01 a       294     0    15     1    14
 -1.2284132680233610E-01 a       295     0    15     1    15
  1.9094330582969085E-01 a       296     0    15     1    16
 -1.4945172757683370E-01 a       297     0    15     1    17
 -5.2923376361427937E-02 a       298     0    15     1    18
 -2.5326756327828637E-01 a       299     0    15     1    19
  5.9532638198760028E-02 a       300     0    15     1    20
 -1.8169439530552840E-02 a       301     0    16     1     1
  1.9611739066360695E-01 a       302     0    16     1     2
  3.1036292767310619E-01 a       303     0    16     1     3
 -1.8778102882931674E-02 a       304     0    16     1     4
 -2.2261885507349552E-01 a       305     0    16     1     5
 -2.4498066067447737E-02 a       306     0    16     1     6
  1.0749354783154426E-01 a       307     0    16     1     7
 -2.3718124753863448E-01 a       308     0    16     1     8
  5.2068962499064086E-01 a       309     0    16     1     9
  1.1913732976085027E-01 a       310     0    16     1    10
 -1.7529597378051126E-01 a       311     0    16     1    11
  9.4433856429985016E-02 a       312     0    16     1    12
 -9.3950064947736403E-02 a       313     0    16     1    13
